Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,PL,Poland,EURO,0,0,0,0
2020-01-04,PL,Poland,EURO,0,0,0,0
2020-01-05,PL,Poland,EURO,0,0,0,0
2020-01-06,PL,Poland,EURO,0,0,0,0
2020-01-07,PL,Poland,EURO,0,0,0,0
2020-01-08,PL,Poland,EURO,0,0,0,0
2020-01-09,PL,Poland,EURO,0,0,0,0
2020-01-10,PL,Poland,EURO,0,0,0,0
2020-01-11,PL,Poland,EURO,0,0,0,0
2020-01-12,PL,Poland,EURO,0,0,0,0
2020-01-13,PL,Poland,EURO,0,0,0,0
2020-01-14,PL,Poland,EURO,0,0,0,0
2020-01-15,PL,Poland,EURO,0,0,0,0
2020-01-16,PL,Poland,EURO,0,0,0,0
2020-01-17,PL,Poland,EURO,0,0,0,0
2020-01-18,PL,Poland,EURO,0,0,0,0
2020-01-19,PL,Poland,EURO,0,0,0,0
2020-01-20,PL,Poland,EURO,0,0,0,0
2020-01-21,PL,Poland,EURO,0,0,0,0
2020-01-22,PL,Poland,EURO,0,0,0,0
2020-01-23,PL,Poland,EURO,0,0,0,0
2020-01-24,PL,Poland,EURO,0,0,0,0
2020-01-25,PL,Poland,EURO,0,0,0,0
2020-01-26,PL,Poland,EURO,0,0,0,0
2020-01-27,PL,Poland,EURO,0,0,0,0
2020-01-28,PL,Poland,EURO,0,0,0,0
2020-01-29,PL,Poland,EURO,0,0,0,0
2020-01-30,PL,Poland,EURO,0,0,0,0
2020-01-31,PL,Poland,EURO,0,0,0,0
2020-02-01,PL,Poland,EURO,0,0,0,0
2020-02-02,PL,Poland,EURO,0,0,0,0
2020-02-03,PL,Poland,EURO,0,0,0,0
2020-02-04,PL,Poland,EURO,0,0,0,0
2020-02-05,PL,Poland,EURO,0,0,0,0
2020-02-06,PL,Poland,EURO,0,0,0,0
2020-02-07,PL,Poland,EURO,0,0,0,0
2020-02-08,PL,Poland,EURO,0,0,0,0
2020-02-09,PL,Poland,EURO,0,0,0,0
2020-02-10,PL,Poland,EURO,0,0,0,0
2020-02-11,PL,Poland,EURO,0,0,0,0
2020-02-12,PL,Poland,EURO,0,0,0,0
2020-02-13,PL,Poland,EURO,0,0,0,0
2020-02-14,PL,Poland,EURO,0,0,0,0
2020-02-15,PL,Poland,EURO,0,0,0,0
2020-02-16,PL,Poland,EURO,0,0,0,0
2020-02-17,PL,Poland,EURO,0,0,0,0
2020-02-18,PL,Poland,EURO,0,0,0,0
2020-02-19,PL,Poland,EURO,0,0,0,0
2020-02-20,PL,Poland,EURO,0,0,0,0
2020-02-21,PL,Poland,EURO,0,0,0,0
2020-02-22,PL,Poland,EURO,0,0,0,0
2020-02-23,PL,Poland,EURO,0,0,0,0
2020-02-24,PL,Poland,EURO,0,0,0,0
2020-02-25,PL,Poland,EURO,0,0,0,0
2020-02-26,PL,Poland,EURO,0,0,0,0
2020-02-27,PL,Poland,EURO,0,0,0,0
2020-02-28,PL,Poland,EURO,0,0,0,0
2020-02-29,PL,Poland,EURO,0,0,0,0
2020-03-01,PL,Poland,EURO,0,0,0,0
2020-03-02,PL,Poland,EURO,0,0,0,0
2020-03-03,PL,Poland,EURO,0,0,0,0
2020-03-04,PL,Poland,EURO,1,1,0,0
2020-03-05,PL,Poland,EURO,0,1,0,0
2020-03-06,PL,Poland,EURO,0,1,0,0
2020-03-07,PL,Poland,EURO,4,5,0,0
2020-03-08,PL,Poland,EURO,1,6,0,0
2020-03-09,PL,Poland,EURO,5,11,0,0
2020-03-10,PL,Poland,EURO,6,17,0,0
2020-03-11,PL,Poland,EURO,5,22,0,0
2020-03-12,PL,Poland,EURO,9,31,0,0
2020-03-13,PL,Poland,EURO,18,49,1,1
2020-03-14,PL,Poland,EURO,19,68,1,2
2020-03-15,PL,Poland,EURO,36,104,1,3
2020-03-16,PL,Poland,EURO,21,125,0,3
2020-03-17,PL,Poland,EURO,52,177,1,4
2020-03-18,PL,Poland,EURO,61,238,1,5
2020-03-19,PL,Poland,EURO,49,287,0,5
2020-03-20,PL,Poland,EURO,68,355,0,5
2020-03-21,PL,Poland,EURO,70,425,0,5
2020-03-22,PL,Poland,EURO,111,536,0,5
2020-03-23,PL,Poland,EURO,98,634,2,7
2020-03-24,PL,Poland,EURO,115,749,1,8
2020-03-25,PL,Poland,EURO,152,901,2,10
2020-03-26,PL,Poland,EURO,150,1051,4,14
2020-03-27,PL,Poland,EURO,170,1221,2,16
2020-03-28,PL,Poland,EURO,168,1389,0,16
2020-03-29,PL,Poland,EURO,249,1638,2,18
2020-03-30,PL,Poland,EURO,224,1862,4,22
2020-03-31,PL,Poland,EURO,193,2055,9,31
2020-04-01,PL,Poland,EURO,256,2311,2,33
2020-04-02,PL,Poland,EURO,243,2554,10,43
2020-04-03,PL,Poland,EURO,392,2946,14,57
2020-04-04,PL,Poland,EURO,437,3383,14,71
2020-04-05,PL,Poland,EURO,244,3627,8,79
2020-04-06,PL,Poland,EURO,475,4102,15,94
2020-04-07,PL,Poland,EURO,311,4413,13,107
2020-04-08,PL,Poland,EURO,435,4848,22,129
2020-04-09,PL,Poland,EURO,357,5205,30,159
2020-04-10,PL,Poland,EURO,370,5575,15,174
2020-04-11,PL,Poland,EURO,380,5955,7,181
2020-04-12,PL,Poland,EURO,401,6356,27,208
2020-04-13,PL,Poland,EURO,318,6674,24,232
2020-04-14,PL,Poland,EURO,260,6934,13,245
2020-04-15,PL,Poland,EURO,268,7202,18,263
2020-04-16,PL,Poland,EURO,380,7582,23,286
2020-04-17,PL,Poland,EURO,336,7918,28,314
2020-04-18,PL,Poland,EURO,461,8379,18,332
2020-04-19,PL,Poland,EURO,363,8742,15,347
2020-04-20,PL,Poland,EURO,545,9287,13,360
2020-04-21,PL,Poland,EURO,306,9593,20,380
2020-04-22,PL,Poland,EURO,263,9856,21,401
2020-04-23,PL,Poland,EURO,313,10169,25,426
2020-04-24,PL,Poland,EURO,342,10511,28,454
2020-04-25,PL,Poland,EURO,381,10892,40,494
2020-04-26,PL,Poland,EURO,381,11273,30,524
2020-04-27,PL,Poland,EURO,344,11617,11,535
2020-04-28,PL,Poland,EURO,285,11902,27,562
2020-04-29,PL,Poland,EURO,316,12218,34,596
2020-04-30,PL,Poland,EURO,422,12640,28,624
2020-05-01,PL,Poland,EURO,237,12877,20,644
2020-05-02,PL,Poland,EURO,228,13105,7,651
2020-05-03,PL,Poland,EURO,270,13375,13,664
2020-05-04,PL,Poland,EURO,318,13693,14,678
2020-05-05,PL,Poland,EURO,313,14006,20,698
2020-05-06,PL,Poland,EURO,425,14431,18,716
2020-05-07,PL,Poland,EURO,309,14740,17,733
2020-05-08,PL,Poland,EURO,307,15047,22,755
2020-05-09,PL,Poland,EURO,319,15366,21,776
2020-05-10,PL,Poland,EURO,285,15651,9,785
2020-05-11,PL,Poland,EURO,345,15996,15,800
2020-05-12,PL,Poland,EURO,330,16326,11,811
2020-05-13,PL,Poland,EURO,595,16921,28,839
2020-05-14,PL,Poland,EURO,283,17204,22,861
2020-05-15,PL,Poland,EURO,411,17615,22,883
2020-05-16,PL,Poland,EURO,401,18016,24,907
2020-05-17,PL,Poland,EURO,241,18257,8,915
2020-05-18,PL,Poland,EURO,272,18529,10,925
2020-05-19,PL,Poland,EURO,356,18885,11,936
2020-05-20,PL,Poland,EURO,383,19268,12,948
2020-05-21,PL,Poland,EURO,471,19739,14,962
2020-05-22,PL,Poland,EURO,404,20143,10,972
2020-05-23,PL,Poland,EURO,476,20619,10,982
2020-05-24,PL,Poland,EURO,312,20931,11,993
2020-05-25,PL,Poland,EURO,395,21326,3,996
2020-05-26,PL,Poland,EURO,305,21631,11,1007
2020-05-27,PL,Poland,EURO,443,22074,17,1024
2020-05-28,PL,Poland,EURO,399,22473,4,1028
2020-05-29,PL,Poland,EURO,352,22825,10,1038
2020-05-30,PL,Poland,EURO,330,23155,13,1051
2020-05-31,PL,Poland,EURO,416,23571,10,1061
2020-06-01,PL,Poland,EURO,215,23786,3,1064
2020-06-02,PL,Poland,EURO,379,24165,10,1074
2020-06-03,PL,Poland,EURO,230,24395,18,1092
2020-06-04,PL,Poland,EURO,292,24687,23,1115
2020-06-05,PL,Poland,EURO,361,25048,2,1117
2020-06-06,PL,Poland,EURO,371,25419,20,1137
2020-06-07,PL,Poland,EURO,567,25986,16,1153
2020-06-08,PL,Poland,EURO,575,26561,4,1157
2020-06-09,PL,Poland,EURO,599,27160,9,1166
2020-06-10,PL,Poland,EURO,400,27560,17,1183
2020-06-11,PL,Poland,EURO,197,27757,23,1206
2020-06-12,PL,Poland,EURO,444,28201,9,1215
2020-06-13,PL,Poland,EURO,376,28577,7,1222
2020-06-14,PL,Poland,EURO,440,29017,15,1237
2020-06-15,PL,Poland,EURO,375,29392,10,1247
2020-06-16,PL,Poland,EURO,396,29788,9,1256
2020-06-17,PL,Poland,EURO,407,30195,16,1272
2020-06-18,PL,Poland,EURO,506,30701,14,1286
2020-06-19,PL,Poland,EURO,314,31015,30,1316
2020-06-20,PL,Poland,EURO,301,31316,18,1334
2020-06-21,PL,Poland,EURO,304,31620,12,1346
2020-06-22,PL,Poland,EURO,311,31931,10,1356
2020-06-23,PL,Poland,EURO,296,32227,3,1359
2020-06-24,PL,Poland,EURO,300,32527,16,1375
2020-06-25,PL,Poland,EURO,294,32821,21,1396
2020-06-26,PL,Poland,EURO,298,33119,16,1412
2020-06-27,PL,Poland,EURO,276,33395,17,1429
2020-06-28,PL,Poland,EURO,319,33714,6,1435
2020-06-29,PL,Poland,EURO,193,33907,3,1438
2020-06-30,PL,Poland,EURO,247,34154,6,1444
2020-07-01,PL,Poland,EURO,239,34393,19,1463
2020-07-02,PL,Poland,EURO,382,34775,14,1477
2020-07-03,PL,Poland,EURO,371,35146,15,1492
2020-07-04,PL,Poland,EURO,259,35405,15,1507
2020-07-05,PL,Poland,EURO,314,35719,5,1512
2020-07-06,PL,Poland,EURO,231,35950,5,1517
2020-07-07,PL,Poland,EURO,205,36155,4,1521
2020-07-08,PL,Poland,EURO,257,36412,7,1528
2020-07-09,PL,Poland,EURO,277,36689,14,1542
2020-07-10,PL,Poland,EURO,262,36951,9,1551
2020-07-11,PL,Poland,EURO,265,37216,11,1562
2020-07-12,PL,Poland,EURO,305,37521,6,1568
2020-07-13,PL,Poland,EURO,370,37891,3,1571
2020-07-14,PL,Poland,EURO,299,38190,5,1576
2020-07-15,PL,Poland,EURO,267,38457,12,1588
2020-07-16,PL,Poland,EURO,323,38780,6,1594
2020-07-17,PL,Poland,EURO,274,39054,11,1605
2020-07-18,PL,Poland,EURO,353,39407,7,1612
2020-07-19,PL,Poland,EURO,339,39746,6,1618
2020-07-20,PL,Poland,EURO,358,40104,6,1624
2020-07-21,PL,Poland,EURO,279,40383,3,1627
2020-07-22,PL,Poland,EURO,399,40782,9,1636
2020-07-23,PL,Poland,EURO,380,41162,6,1642
2020-07-24,PL,Poland,EURO,418,41580,9,1651
2020-07-25,PL,Poland,EURO,458,42038,4,1655
2020-07-26,PL,Poland,EURO,584,42622,9,1664
2020-07-27,PL,Poland,EURO,443,43065,7,1671
2020-07-28,PL,Poland,EURO,337,43402,5,1676
2020-07-29,PL,Poland,EURO,502,43904,6,1682
2020-07-30,PL,Poland,EURO,512,44416,12,1694
2020-07-31,PL,Poland,EURO,615,45031,15,1709
2020-08-01,PL,Poland,EURO,657,45688,7,1716
2020-08-02,PL,Poland,EURO,658,46346,5,1721
2020-08-03,PL,Poland,EURO,548,46894,10,1731
2020-08-04,PL,Poland,EURO,575,47469,1,1732
2020-08-05,PL,Poland,EURO,680,48149,6,1738
2020-08-06,PL,Poland,EURO,640,48789,18,1756
2020-08-07,PL,Poland,EURO,726,49515,18,1774
2020-08-08,PL,Poland,EURO,809,50324,13,1787
2020-08-09,PL,Poland,EURO,843,51167,13,1800
2020-08-10,PL,Poland,EURO,624,51791,7,1807
2020-08-11,PL,Poland,EURO,619,52410,2,1809
2020-08-12,PL,Poland,EURO,551,52961,12,1821
2020-08-13,PL,Poland,EURO,715,53676,9,1830
2020-08-14,PL,Poland,EURO,811,54487,14,1844
2020-08-15,PL,Poland,EURO,832,55319,14,1858
2020-08-16,PL,Poland,EURO,771,56090,11,1869
2020-08-17,PL,Poland,EURO,594,56684,8,1877
2020-08-18,PL,Poland,EURO,595,57279,8,1885
2020-08-19,PL,Poland,EURO,597,57876,11,1896
2020-08-20,PL,Poland,EURO,735,58611,17,1913
2020-08-21,PL,Poland,EURO,767,59378,12,1925
2020-08-22,PL,Poland,EURO,903,60281,13,1938
2020-08-23,PL,Poland,EURO,900,61181,13,1951
2020-08-24,PL,Poland,EURO,581,61762,4,1955
2020-08-25,PL,Poland,EURO,548,62310,5,1960
2020-08-26,PL,Poland,EURO,763,63073,17,1977
2020-08-27,PL,Poland,EURO,729,63802,17,1994
2020-08-28,PL,Poland,EURO,887,64689,16,2010
2020-08-29,PL,Poland,EURO,791,65480,8,2018
2020-08-30,PL,Poland,EURO,759,66239,14,2032
2020-08-31,PL,Poland,EURO,631,66870,1,2033
